Gene ID	Transcript ID	Gene Name	RefSeq	CCDS ID
ENSG00000004059	ENST00000000233	ARF5	NM_001662	CCDS34745
ENSG00000003056	ENST00000000412	M6PR	NM_002355	CCDS8598
ENSG00000006451	ENST00000005257	RALA	NM_005402	CCDS5460
ENSG00000004975	ENST00000005340	DVL2	NM_004422	CCDS11091
ENSG00000005486	ENST00000006777	RHBDD2	"NM_001346188; NM_001346189; NM_001040456"	CCDS43602
ENSG00000007520	ENST00000007390	TSR3	NM_001001410	CCDS10435
ENSG00000004779	ENST00000007516	NDUFAB1	NM_005003	CCDS10614
ENSG00000008988	ENST00000009589	RPS20	NM_001023	CCDS6163
ENSG00000010017	ENST00000011619	RANBP9	NM_005493	CCDS4529
ENSG00000008324	ENST00000011691	SS18L2	NA	CCDS2701
ENSG00000011485	ENST00000012443	PPP5C	"NM_006247; NM_001204284"	CCDS12684
ENSG00000014919	ENST00000016171	COX15	"NM_001320976; NM_078470"	CCDS7482
ENSG00000078668	ENST00000022615	VDAC3	NM_005662	CCDS6131
ENSG00000022277	ENST00000023939	RTF2	NM_001283035	CCDS63316
ENSG00000027847	ENST00000029410	B4GALT7	NM_007255	CCDS4429
ENSG00000034713	ENST00000037243	GABARAPL2	NM_007285	CCDS10921
ENSG00000048544	ENST00000053468	MRPS10	NM_018141	CCDS4866
ENSG00000030582	ENST00000053867	GRN	NM_002087	CCDS11483
ENSG00000049245	ENST00000054666	VAMP3	NM_004781	CCDS88
ENSG00000049449	ENST00000054950	RCN1	NM_002901	CCDS7876
ENSG00000054965	ENST00000064778	FAM168A	NM_001286050	CCDS73346
ENSG00000004897	ENST00000066544	CDC27	"NM_001353049; NM_001293091; NM_001353035; NM_001256"	CCDS11509
ENSG00000063177	ENST00000084795	RPL18	NA	
ENSG00000063241	ENST00000085068	ISOC2	NM_024710	CCDS12925
ENSG00000063245	ENST00000085079	EPN1	NM_013333	CCDS46200
ENSG00000068394	ENST00000156109	GPKOW	NM_015698	CCDS35251
ENSG00000127663	ENST00000159111	KDM4B	NM_015015	CCDS12138
ENSG00000065970	ENST00000162391	FOXJ2	NM_018416	CCDS8587
ENSG00000066455	ENST00000163416	GOLGA5	NM_005113	CCDS9905
ENSG00000068971	ENST00000164133	PPP2R5B	NM_006244	CCDS8085
ENSG00000079313	ENST00000170168	REXO1	NM_020695	CCDS32866
ENSG00000075975	ENST00000170447	MKRN2	NM_014160	CCDS33702
ENSG00000068697	ENST00000175091	LAPTM4A	NM_014713	CCDS1696
ENSG00000065518	ENST00000184266	NDUFB4	NM_004547	CCDS2999
ENSG00000068912	ENST00000185150	ERLEC1	NM_015701	CCDS1848
ENSG00000075568	ENST00000186436	TMEM131	NM_015348	CCDS46368
ENSG00000081791	ENST00000194118	DELE1	NA	CCDS4268
ENSG00000083444	ENST00000196061	PLOD1	"NM_001316320; NM_000302"	CCDS142
ENSG00000083845	ENST00000196551	RPS5	NM_001009	CCDS12978
ENSG00000085721	ENST00000198767	RRN3	NM_018427	CCDS10559
ENSG00000086189	ENST00000199320	DIMT1	"NM_014473; NM_001348077"	CCDS3981
ENSG00000086232	ENST00000199389	EIF2AK1	"NM_001134335; NM_014413"	CCDS5345
ENSG00000086504	ENST00000199706	MRPL28	NM_006428	CCDS32349
ENSG00000005893	ENST00000200639	LAMP2	NM_002294	CCDS14599
ENSG00000089063	ENST00000202834	TMEM230	NM_001009925	CCDS13086
ENSG00000089693	ENST00000203630	MLF2	NA	CCDS8559
ENSG00000090470	ENST00000204549	PDCD7	NM_005707	CCDS10201
ENSG00000090581	ENST00000204679	GNPTG	NM_032520	CCDS10436
ENSG00000091140	ENST00000205402	DLD	NM_000108	CCDS5749
ENSG00000091640	ENST00000206020	SPAG7	NM_004890	CCDS42240
ENSG00000091947	ENST00000206380	TMEM101	NM_032376	CCDS11474
ENSG00000092010	ENST00000206451	PSME1	"NM_001281529; NM_006263"	CCDS9612
ENSG00000095059	ENST00000210060	DHPS	NM_001930	CCDS12276
ENSG00000095261	ENST00000210313	PSMD5	NM_005047	CCDS6824
ENSG00000099203	ENST00000214869	TMED1	NM_006858	CCDS12249
ENSG00000099385	ENST00000215115	BCL7C	NM_004765	CCDS10693
ENSG00000099795	ENST00000215565	NDUFB7	NM_004146	CCDS12314
ENSG00000099800	ENST00000215570	TIMM13	NM_012458	CCDS12089
