Uniprot ID	Length
A0A075B706	16
A0A0G2JS06	123
A0A0J9YWL9	993
A0A1W2PP97	115
A0A5B9	178
A0JD32	116
A6NJR5	290
A6NKQ9	187
A6NL46	340
A6NNC1	897
A8MV72	311
A8MVM7	634
O14545	582
O15305	246
O15400	261
O15533	448
O43426	1573
O43597	315
P00491	289
P01036	141
P03901	98
P04733	61
P08833	259
P09341	107
P09681	153
P15516	51
P22528	89
P28330	430
P30414	1462
P30837	517
P35269	517
P43694	442
P55916	312
P58005	492
P58499	235
P62310	102
Q00532	357
Q15327	319
Q16515	512
Q1RN00	199
Q38SD2	2015
Q3B8N5	592
Q494V2	611
Q496Y0	759
Q5JTW2	689
Q5T0L3	261
Q5VTY9	493
Q5W150	140
Q5XG85	94
Q6NV74	962
Q6ZR08	3092
Q6ZS92	163
Q6ZSR6	202
Q6ZUB0	917
Q7L5A8	372
Q7RTV3	350
Q86W34	360
Q86YH2	543
Q8IXZ3	490
Q8N1L9	274
Q8N3C7	705
Q8N4L1	468
Q8N814	137
Q8N976	141
Q8N9P0	234
Q8N9W6	283
Q8NA61	448
Q8NBQ7	271
Q8NE18	718
Q8NEC7	633
Q8NGL4	314
Q8TAS1	419
Q8TB24	985
Q8TCX5	670
Q8TDV2	347
Q8TER0	1413
Q8WU76	684
Q8WWI1	1683
Q92911	643
Q969I6	547
Q96AT9	228
Q96IV6	333
Q96IX5	58
Q96Q89	1820
Q9BXR0	403
Q9H0R4	259
Q9H521	79
Q9HA64	309
Q9HCU4	2923
Q9NPQ8	531
Q9NSY0	501
Q9NUV9	329
Q9UDX3	406
Q9UGC6	210
Q9UJJ9	305
Q9UJV8	347
Q9UL18	857
Q9UMQ6	739
Q9Y2H8	683
Q9Y5Z7	792
A0A075B6V8	20
A0A0B4J200	16
A0A3B3IRS2	109
A0AUZ9	987
A2RUT3	159
A6NFC5	223
A6NIY4	402
A8MUM7	142
B4DJY2	109
C9JCN9	74
O00329	1044
O14817	238
O15417	2968
O43572	662
O43847	1151
O75907	488
O94769	699
O94832	1006
O94916	1531
O95436	690
P01100	380
P05496	136
P07305	194
P07437	444
P08579	225
P08908	422
P0C7I0	530
P0DN37	164
P0DP07	118
P0DSO3	117
P10589	423
P25089	353
P35222	781
P42263	894
P45877	212
P51149	207
P54845	237
Q01974	943
Q03923	595
Q07864	2286
Q12884	760
Q13018	1463
Q13615	1198
Q15283	850
Q15366	365
Q15615	310
Q16595	210
Q3BBV2	869
Q4ZIN3	620
Q5FWF6	425
Q5SSG8	566
Q5SSQ6	148
Q5THR3	1501
Q63HM9	321
Q6P9H4	555
Q6URK8	216
Q6UX65	266
Q7L0Y3	403
Q7Z6M1	372
Q86W33	373
Q8IU81	584
Q8IUC4	686
Q8IUG5	2567
Q8N336	334
Q8N4S9	558
Q8N684	471
Q8N878	549
Q8NCI6	653
Q8NGA6	315
Q8NGS7	320
Q8NHR7	220
Q8TBY0	533
Q8TDY4	903
Q92800	747
Q92845	792
Q969M1	308
Q96JE9	813
Q96L91	3159
Q96SL1	478
Q99424	681
Q99442	399
Q99638	391
Q99712	375
Q9BXK1	252
Q9BY42	306
Q9BYR2	181
Q9H093	628
Q9H6X4	195
Q9H7J1	279
Q9HCM9	518
Q9P1D8	64
Q9P202	907
Q9P2M1	347
Q9UH77	587
Q9UJM3	462
Q9UMS4	504
Q9Y252	685
Q9Y2Z4	477
Q9Y394	339
Q9Y4F1	1045
A0A075B6Y1	19
A0A075B767	164
A0A1B0GUW6	1196
A0A2U3TZM8	278
A6NFA1	517
A8MQ14	1090
A8MUL3	147
A8MUP6	293
O00458	451
O00622	381
O14526	889
O15021	2623
O15379	428
O43731	214
O75031	334
O75093	1534
O75787	350
O94864	414
O94905	339
O95455	350
O95644	943
O95674	445
O95997	202
P01178	125
P0C7T7	363
P0CW18	603
P0DPI3	272
P13224	206
P26371	169
P28702	533
P32929	405
P35372	400
P40123	477
P40937	340
P48067	706
P48509	253
P51858	240
P59190	212
P62834	184
P98073	1019
Q01955	1670
Q01973	937
Q08334	325
Q13045	1269
Q13188	491
Q13495	774
Q13535	2644
Q13822	863
Q14542	456
Q14584	549
Q15014	288
Q15238	335
Q15466	257
Q155Q3	683
Q15834	202
Q3KNW5	377
Q3SXY8	428
Q53GD3	710
Q5K651	1589
Q5T871	98
Q69YU3	496
Q6IPW1	123
Q6ZNG2	339
Q70EL2	814
Q86UE6	522
Q86WS3	158
Q86XH1	822
Q8IXZ2	948
Q8N4F4	552
Q8NFP7	164
Q8NGI2	321
Q8NGL1	313
Q8TC56	605
Q8TCY9	931
Q8TEA1	469
Q8WUF8	416
Q8WXF5	182
Q92529	594
Q92608	1830
Q92685	438
Q93050	837
Q96DT5	4516
Q96FT9	208
Q96JB5	506
Q96KN4	292
Q96MC9	270
Q9BPY3	351
Q9BQ61	176
Q9BRX8	229
Q9BZS9	49
Q9H2C5	316
Q9NPI6	582
Q9NQ32	467
Q9NQZ6	224
Q9NUV7	552
Q9UBC2	864
Q9UEY8	706
Q9UKU6	1069
Q9Y4M8	146
Q9Y6G9	523
A0A087X0M5	115
A6NKF1	404
A6NM03	316
O15117	783
O15371	548
O43307	516
O75444	373
O75899	941
O94923	617
P01594	117
P02748	559
P05023	1023
P07992	297
P08173	479
P0DOY3	106
P0DX04	45
P13861	404
P19971	482
P25440	801
P26436	265
P27361	379
P29274	412
P32302	372
P43652	599
P49716	269
P49773	126
P51689	593
P51801	687
P60509	514
P60660	151
Q06055	141
Q075Z2	132
Q14573	2671
Q14957	1233
Q14CX7	972
Q15139	912
Q16594	264
Q2M2I8	961
Q3MUY2	71
Q53GT1	634
Q567V2	206
Q5EBM0	449
Q5TA50	214
Q5VXJ0	399
Q6PIU2	408
Q6ZMP0	1018
Q6ZN11	406
Q6ZVN8	426
Q7Z7K2	595
Q86VK4	478
Q86W10	505
Q86WG3	371
Q86WH2	238
Q86WZ0	1026
Q86Y28	39
Q86YS6	212
Q8IVS8	523
Q8IWN6	122
Q8IYT4	538
Q8N1N2	210
Q8N6R0	699
Q8ND90	353
Q8NEB7	543
Q8NEV1	391
Q8NFR7	591
Q8NGK5	317
Q8NGQ5	310
Q8TBE9	248
Q8TF21	1146
Q96CN4	794
Q96HM7	432
Q96LS8	159
Q96PL1	93
Q96PT3	197
Q99988	308
Q9BQP7	344
Q9BR76	489
Q9BRQ3	303
Q9BW04	601
Q9BWU0	742
Q9BY19	250
Q9BZQ8	928
Q9GZZ6	450
Q9H3R1	872
Q9H469	300
Q9H4D5	531
Q9H8V3	914
Q9HB40	452
Q9HC10	1997
Q9HD40	501
Q9NRZ7	376
Q9NSY1	1161
Q9NUI1	292
Q9NX08	183
Q9NY74	926
Q9UHC7	482
Q9UK11	482
Q9UMX1	484
Q9UPT8	1303
Q9Y5W8	968
A0A1B0GTB2	48
A6NGW2	1772
A6NKF7	163
A8MUK1	530
C9JH25	899
O00253	132
O00624	439
O14727	1248
O43248	304
O43304	696
O60573	245
O75955	427
O94967	919
O95445	188
P04259	564
P06454	111
P09543	421
P0CG29	244
P0CJ71	28
P12035	628
P23759	505
P24390	212
P43268	484
P53985	500
P55039	364
P62244	130
P78417	241
Q01538	1121
Q01850	454
Q02410	837
Q06730	810
Q08999	1139
Q12926	359
