Gene ID	UniProtID	Protein length	Housekeeping?
ENSG00000282815	A0A0J9YWL9	993	0
ENSG00000284491	A0A1W2PP97	115	0
ENSG00000267631	A6NKQ9	187	0
ENSG00000135148	O14545	582	0
ENSG00000140650	O15305	246	0
ENSG00000079950	O15400	261	0
ENSG00000112493	O15533	448	0
ENSG00000159082	O43426	1573	0
ENSG00000136158	O43597	315	0
ENSG00000198805	P00491	289	0
ENSG00000101441	P01036	141	0
ENSG00000212907	P03901	98	0
ENSG00000198417	P04733	61	0
ENSG00000146678	P08833	259	0
ENSG00000163739	P09341	107	0
ENSG00000159224	P09681	153	0
ENSG00000205649	P15516	51	0
ENSG00000169469	P22528	89	0
ENSG00000115361	P28330	430	0
ENSG00000114857	P30414	1462	0
ENSG00000137124	P30837	517	0
ENSG00000125651	P35269	517	1
ENSG00000285109	P43694	442	0
ENSG00000175564	P55916	312	0
ENSG00000149212	P58005	492	0
ENSG00000183844	P58499	235	0
ENSG00000170860	P62310	102	1
ENSG00000100490	Q00532	357	0
ENSG00000148677	Q15327	319	0
ENSG00000108684	Q16515	512	0
ENSG00000154237	Q38SD2	2015	0
ENSG00000119608	Q3B8N5	592	0
ENSG00000163885	Q494V2	611	0
ENSG00000175556	Q496Y0	759	0
ENSG00000148019	Q5JTW2	689	0
ENSG00000171722	Q5T0L3	261	0
ENSG00000280680	Q5VTY9	493	0
ENSG00000196872	Q6NV74	962	0
ENSG00000174844	Q6ZR08	3092	0
ENSG00000189357	Q6ZUB0	917	0
ENSG00000103089	Q7L5A8	372	0
ENSG00000165244	Q7RTV3	350	0
ENSG00000196704	Q86W34	360	0
ENSG00000275004	Q86YH2	543	0
ENSG00000164651	Q8IXZ3	490	0
ENSG00000168062	Q8N1L9	274	0
ENSG00000115295	Q8N3C7	705	0
ENSG00000179292	Q8N4L1	468	0
ENSG00000152430	Q8N9W6	283	0
ENSG00000174015	Q8NA61	448	0
ENSG00000178301	Q8NBQ7	271	0
ENSG00000179299	Q8NE18	718	0
ENSG00000138780	Q8NEC7	633	0
ENSG00000279761	Q8NGL4	314	0
ENSG00000152332	Q8TAS1	419	0
ENSG00000100599	Q8TB24	985	0
ENSG00000158106	Q8TCX5	670	0
ENSG00000173302	Q8TDV2	347	0
ENSG00000162804	Q8TER0	1413	0
ENSG00000184178	Q8WU76	684	0
ENSG00000136153	Q8WWI1	1683	0
ENSG00000105641	Q92911	643	0
ENSG00000139209	Q969I6	547	0
ENSG00000197713	Q96AT9	228	0
ENSG00000170271	Q96IV6	333	0
ENSG00000173915	Q96IX5	58	1
ENSG00000138182	Q96Q89	1820	0
ENSG00000213339	Q9BXR0	403	0
ENSG00000167220	Q9H0R4	259	0
ENSG00000141560	Q9HA64	309	1
ENSG00000143126	Q9HCU4	2923	0
ENSG00000177963	Q9NPQ8	531	1
ENSG00000185189	Q9NSY0	501	0
ENSG00000133574	Q9NUV9	329	0
ENSG00000133488	Q9UDX3	406	0
ENSG00000091844	Q9UGC6	210	0
ENSG00000090581	Q9UJJ9	305	1
ENSG00000172733	Q9UJV8	347	0
ENSG00000092847	Q9UL18	857	0
ENSG00000137225	Q9UMQ6	739	0
ENSG00000081386	Q9Y2H8	683	0
ENSG00000111727	Q9Y5Z7	792	0
ENSG00000285566	A0A3B3IRS2	109	0
ENSG00000144445	A0AUZ9	987	0
ENSG00000183396	A2RUT3	159	0
ENSG00000204278	A6NFC5	223	0
ENSG00000170092	A6NIY4	402	0
ENSG00000249861	A8MUM7	142	0
ENSG00000224982	B4DJY2	109	0
ENSG00000226742	C9JCN9	74	0
ENSG00000171608	O00329	1044	0
ENSG00000214063	O14817	238	0
ENSG00000182095	O15417	2968	0
ENSG00000108599	O43572	662	1
ENSG00000078618	O43847	1151	0
ENSG00000285482	O75907	488	0
ENSG00000106823	O94769	699	0
ENSG00000176658	O94832	1006	0
ENSG00000102908	O94916	1531	0
ENSG00000157765	O95436	690	0
ENSG00000170345	P01100	380	0
ENSG00000159199	P05496	136	1
ENSG00000189060	P07305	194	0
ENSG00000224156	P07437	444	0
ENSG00000125870	P08579	225	0
ENSG00000178394	P08908	422	0
ENSG00000237038	P0C7I0	530	0
ENSG00000236334	P0DN37	164	0
ENSG00000175745	P10589	423	0
ENSG00000187474	P25089	353	0
ENSG00000168036	P35222	781	1
ENSG00000125675	P42263	894	0
ENSG00000168938	P45877	212	0
ENSG00000075785	P51149	207	1
ENSG00000285493	P54845	237	0
ENSG00000169071	Q01974	943	0
ENSG00000105750	Q03923	595	0
ENSG00000177084	Q07864	2286	0
ENSG00000078098	Q12884	760	0
ENSG00000153246	Q13018	1463	0
ENSG00000100330	Q13615	1198	0
ENSG00000155903	Q15283	850	0
ENSG00000197111	Q15366	365	1
ENSG00000141194	Q15615	310	0
ENSG00000165060	Q16595	210	0
ENSG00000182087	Q4ZIN3	620	1
ENSG00000198556	Q5FWF6	425	0
ENSG00000204544	Q5SSG8	566	0
ENSG00000227861	Q5SSQ6	148	0
ENSG00000186976	Q5THR3	1501	0
ENSG00000182836	Q63HM9	321	0
ENSG00000153721	Q6P9H4	555	0
ENSG00000159648	Q6URK8	216	0
ENSG00000156171	Q6UX65	266	0
ENSG00000174173	Q7L0Y3	403	0
ENSG00000136933	Q7Z6M1	372	0
ENSG00000163870	Q86W33	373	0
ENSG00000170604	Q8IU81	584	1
ENSG00000131941	Q8IUC4	686	0
ENSG00000133454	Q8IUG5	2567	0
ENSG00000110675	Q8N336	334	0
ENSG00000274671	Q8N4S9	558	0
ENSG00000149532	Q8N684	471	0
ENSG00000153303	Q8N878	549	0
ENSG00000166105	Q8NCI6	653	0
ENSG00000172519	Q8NGA6	315	0
ENSG00000186943	Q8NGS7	320	0
ENSG00000167014	Q8NHR7	220	0
ENSG00000151962	Q8TBY0	533	0
ENSG00000282854	Q8TDY4	903	0
ENSG00000108799	Q92800	747	0
ENSG00000075945	Q92845	792	0
ENSG00000158882	Q969M1	308	0
ENSG00000171533	Q96JE9	813	0
ENSG00000183495	Q96L91	3159	0
ENSG00000138463	Q96SL1	478	0
ENSG00000168306	Q99424	681	0
ENSG00000008952	Q99442	399	1
ENSG00000172613	Q99638	391	0
ENSG00000157551	Q99712	375	0
ENSG00000129911	Q9BXK1	252	0
ENSG00000022277	Q9BY42	306	1
ENSG00000198271	Q9BYR2	181	0
