gene_id	gene_name	uniprot_id	length	Hk
ENSG00000282815	TEX13C	A0A0J9YWL9	993	0
ENSG00000284491	THSD8	A0A1W2PP97	115	0
ENSG00000149021	CGB1	A6NKQ9	187	0
ENSG00000135148	TRAFD1	O14545	582	0
ENSG00000140650	PMM2	O15305	246	0
ENSG00000079950	STX7	O15400	261	0
ENSG00000231925	TAPBP	O15533	448	1
ENSG00000159082	SYNJ1	O43426	1573	0
ENSG00000136158	SPRY2	O43597	315	0
ENSG00000138035	PNP	P00491	289	0
ENSG00000101441	CST4	P01036	141	0
ENSG00000212907	MT-ND4L	P03901	98	0
ENSG00000198417	MT1F	P04733	61	0
ENSG00000146678	IGFBP1	P08833	259	0
ENSG00000169245	CXCL1	P09341	107	0
ENSG00000137960	GIP	P09681	153	0
ENSG00000205649	HTN3	P15516	51	0
ENSG00000169469	SPRR1B	P22528	89	0
ENSG00000115361	ACADL	P28330	430	0
ENSG00000114857	NKTR	P30414	1462	0
ENSG00000137124	ALDH1B1	P30837	517	0
ENSG00000125651	GTF2F1	P35269	517	1
ENSG00000136574	GATA4	P43694	442	0
ENSG00000175564	UCP3	P55916	312	0
ENSG00000149212	SESN3	P58005	492	0
ENSG00000183844	FAM3B	P58499	235	0
ENSG00000170860	LSM3	P62310	102	1
ENSG00000100490	CDKL1	Q00532	357	0
ENSG00000118454	ANKRD1	Q15327	319	0
ENSG00000108684	ASIC2	Q16515	512	0
ENSG00000154237	LRRK1	Q38SD2	2015	0
ENSG00000119608	PROX2	Q3B8N5	592	0
ENSG00000163885	CFAP100	Q494V2	611	0
ENSG00000175556	LONRF3	Q496Y0	759	0
ENSG00000148019	CEP78	Q5JTW2	689	0
ENSG00000171722	SPATA46	Q5T0L3	261	0
ENSG00000054392	HHAT	Q5VTY9	493	0
ENSG00000196872	CRACDL	Q6NV74	962	0
ENSG00000174844	DNAH12	Q6ZR08	3092	0
ENSG00000189357	SPATA31D4	Q6ZUB0	917	0
ENSG00000103089	FA2H	Q7L5A8	372	0
ENSG00000165244	ZNF367	Q7RTV3	350	0
ENSG00000196704	AMZ2	Q86W34	360	0
ENSG00000275004	ZNF280B	Q86YH2	543	0
ENSG00000064012	SP8	Q8IXZ3	490	0
ENSG00000168062	BATF2	Q8N1L9	274	0
ENSG00000115295	CLIP4	Q8N3C7	705	0
ENSG00000179292	TMEM151A	Q8N4L1	468	0
ENSG00000152430	BOLL	Q8N9W6	283	0
ENSG00000174015	CBY2	Q8NA61	448	0
ENSG00000178301	AQP11	Q8NBQ7	271	0
ENSG00000179299	NSUN7	Q8NE18	718	0
ENSG00000138780	GSTCD	Q8NEC7	633	0
ENSG00000279761	OR5D13	Q8NGL4	314	0
ENSG00000152332	UHMK1	Q8TAS1	419	0
ENSG00000185477	RIN3	Q8TB24	985	0
ENSG00000158106	RHPN1	Q8TCX5	670	0
ENSG00000173302	GPR148	Q8TDV2	347	0
ENSG00000162804	SNED1	Q8TER0	1413	0
ENSG00000184178	SCFD2	Q8WU76	684	0
ENSG00000136153	LMO7	Q8WWI1	1683	0
ENSG00000105641	SLC5A5	Q92911	643	0
ENSG00000139209	SLC38A4	Q969I6	547	0
ENSG00000182004	RPE	Q96AT9	228	0
ENSG00000170271	FAXDC2	Q96IV6	333	0
ENSG00000173915	ATP5MK	Q96IX5	58	1
ENSG00000138182	KIF20B	Q96Q89	1820	0
ENSG00000213339	QTRT1	Q9BXR0	403	0
ENSG00000167220	HDHD2	Q9H0R4	259	0
ENSG00000141560	FN3KRP	Q9HA64	309	1
ENSG00000143126	CELSR2	Q9HCU4	2923	0
ENSG00000177963	RIC8A	Q9NPQ8	531	1
ENSG00000185189	NRBP2	Q9NSY0	501	0
ENSG00000133574	GIMAP4	Q9NUV9	329	0
ENSG00000133488	SEC14L4	Q9UDX3	406	0
ENSG00000091844	RGS17	Q9UGC6	210	0
ENSG00000090581	GNPTG	Q9UJJ9	305	1
